Domain,Area,Element,Item,Year,Months,Value
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2010","January","1350"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2010","February","1300"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2010","March","1350"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2010","April","1350"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2010","May","1350"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2010","June","1400"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2010","July","1500"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2010","August","1500"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2010","September","1450"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2010","October","1450"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2010","November","1400"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2010","December","1350"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2011","January","750"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2011","February","800"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2011","March","800"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2011","April","800"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2011","May","800"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2011","June","800"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2011","July","850"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2011","August","850"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2011","September","850"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2011","October","950"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2011","November","950"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2011","December","950"
